epoch,train_loss,loss_bce,loss_tv,loss_flow
1,1.4594836568832397,0.7007176494598388,0.9414243984222412,0.31920630633831026
2,1.1226936781406402,0.5176323354244232,0.9170255851745606,0.20268236175179483
3,0.9771990692615509,0.38693799674510954,0.8919237244129181,0.16888410612940788
4,0.8892150580883026,0.2949814620614052,0.8437419271469117,0.15992668211460115
5,0.841560800075531,0.2342723348736763,0.8049981474876404,0.1609627816081047
6,0.8057373178005218,0.1970155081152916,0.7621882450580597,0.1630677202343941
7,0.7416323149204254,0.17297905474901198,0.6921963894367218,0.15452229738235473
8,0.6803922045230866,0.1667914292216301,0.6301915776729584,0.1409503488242626
9,0.6566794276237488,0.1695198555290699,0.5834235101938248,0.14010387152433396
10,0.5898581200838089,0.1563201242685318,0.5161060100793838,0.1268225271999836
11,0.5795772504806519,0.15859486624598504,0.48449512422084806,0.12901612788438796
12,0.5713688409328461,0.1693247464299202,0.461380712389946,0.12800805807113647
13,0.5492401307821274,0.1666414175927639,0.43750955164432526,0.12358232401311398
14,0.5576084929704667,0.17076482333242893,0.4272418808937073,0.12930257081985475
15,0.5391890549659729,0.1711797820031643,0.4163365775346756,0.12271543651819229
16,0.55478062748909,0.17529555097222327,0.4097797763347626,0.1311214831471443
17,0.5690096473693848,0.17884884864091874,0.41802127301692965,0.13528729379177093
18,0.5046350598335266,0.15636075638234614,0.3903394919633865,0.11564246773719787
19,0.492523974776268,0.16974344491958618,0.3724244672060013,0.11072000898420811
20,0.48148864090442656,0.15512643046677113,0.3736938351392746,0.1085392539203167
21,0.4768246877193451,0.16009105585515498,0.36483254432678225,0.10718144506216049
22,0.47757620096206665,0.15456863403320312,0.3792708843946457,0.10532822191715241
23,0.48507010579109194,0.16107773780822754,0.35890803396701815,0.11253861084580422
24,0.468385066986084,0.16352530933916568,0.34910351514816285,0.10603532612323761
25,0.46503941535949705,0.15871167466044425,0.36256609588861466,0.10220026656985283
26,0.4656162679195404,0.1537665616720915,0.3589269608259201,0.10463475234806538
27,0.44372972309589387,0.15490227922797203,0.35359681069850923,0.09474008992314338
28,0.4362144100666046,0.1567567567527294,0.3416560512781143,0.09350400477647781
29,0.45793703258037566,0.1426681537926197,0.3557581254839897,0.10436194613575936
30,0.4621134978532791,0.16532420709729195,0.3414301326870918,0.10436816357076167
